benchmark,coverage,risk,seed,variant
banking77_closed,0.75,0.09956709956709957,2501,R2
banking77_closed,0.8,0.10470779220779221,2501,R2
banking77_closed,0.85,0.11077158135981666,2501,R2
banking77_closed,0.9,0.12012987012987013,2501,R2
banking77_closed,0.95,0.13157894736842105,2501,R2
banking77_closed,1.0,0.1474025974025974,2501,R2
clinc150,0.05,0.06545454545454546,2502,R0
clinc150,0.1,0.06545454545454546,2502,R0
clinc150,0.15,0.09575757575757576,2502,R0
clinc150,0.2,0.12090909090909091,2502,R0
clinc150,0.25,0.15418181818181817,2502,R0
clinc150,0.3,0.21636363636363637,2502,R0
clinc150,0.35,0.27584415584415584,2502,R0
clinc150,0.4,0.3468181818181818,2502,R0
clinc150,0.45,0.4125252525252525,2502,R0
clinc150,0.5,0.468,2502,R0
clinc150,0.55,0.5147107438016529,2502,R0
clinc150,0.6,0.553939393939394,2502,R0
clinc150,0.65,0.5874125874125874,2502,R0
clinc150,0.7,0.6163636363636363,2502,R0
clinc150,0.75,0.6416969696969697,2502,R0
clinc150,0.8,0.6640909090909091,2502,R0
clinc150,0.85,0.6838502673796791,2502,R0
clinc150,0.9,0.701010101010101,2502,R0
clinc150,0.95,0.7167464114832536,2502,R0
clinc150,1.0,0.730909090909091,2502,R0
clinc150,0.05,0.01090909090909091,2502,R2
clinc150,0.1,0.04909090909090909,2502,R2
clinc150,0.15,0.08848484848484849,2502,R2
clinc150,0.2,0.13727272727272727,2502,R2
clinc150,0.25,0.1869090909090909,2502,R2
clinc150,0.3,0.25515151515151513,2502,R2
clinc150,0.35,0.31896103896103895,2502,R2
clinc150,0.4,0.38181818181818183,2502,R2
clinc150,0.45,0.43595959595959594,2502,R2
clinc150,0.5,0.4818181818181818,2502,R2
clinc150,0.55,0.5236363636363637,2502,R2
clinc150,0.6,0.5612121212121212,2502,R2
clinc150,0.65,0.5938461538461538,2502,R2
clinc150,0.7,0.6223376623376623,2502,R2
clinc150,0.75,0.6470303030303031,2502,R2
clinc150,0.8,0.6688636363636363,2502,R2
clinc150,0.85,0.6881283422459893,2502,R2
clinc150,0.9,0.7052525252525252,2502,R2
clinc150,0.95,0.7207655502392345,2502,R2
clinc150,1.0,0.7347272727272727,2502,R2
clinc150,0.05,0.01090909090909091,2502,MAX_THRESHOLD
clinc150,0.1,0.04909090909090909,2502,MAX_THRESHOLD
clinc150,0.15,0.08848484848484849,2502,MAX_THRESHOLD
clinc150,0.2,0.13727272727272727,2502,MAX_THRESHOLD
clinc150,0.25,0.1869090909090909,2502,MAX_THRESHOLD
clinc150,0.3,0.25515151515151513,2502,MAX_THRESHOLD
clinc150,0.35,0.34545454545454546,2502,MAX_THRESHOLD
clinc150,0.4,0.42727272727272725,2502,MAX_THRESHOLD
clinc150,0.45,0.4909090909090909,2502,MAX_THRESHOLD
clinc150,0.5,0.5418181818181819,2502,MAX_THRESHOLD
clinc150,0.55,0.5834710743801653,2502,MAX_THRESHOLD
clinc150,0.6,0.6181818181818182,2502,MAX_THRESHOLD
clinc150,0.65,0.6475524475524476,2502,MAX_THRESHOLD
clinc150,0.7,0.6727272727272727,2502,MAX_THRESHOLD
clinc150,0.75,0.6945454545454546,2502,MAX_THRESHOLD
clinc150,0.8,0.7136363636363636,2502,MAX_THRESHOLD
clinc150,0.85,0.7304812834224599,2502,MAX_THRESHOLD
clinc150,0.9,0.7454545454545455,2502,MAX_THRESHOLD
clinc150,0.95,0.7588516746411483,2502,MAX_THRESHOLD
clinc150,1.0,0.7709090909090909,2502,MAX_THRESHOLD
clinc150,0.05,0.01818181818181818,2502,R3
clinc150,0.1,0.30363636363636365,2502,R3
clinc150,0.15,0.5357575757575758,2502,R3
clinc150,0.2,0.6518181818181819,2502,R3
clinc150,0.25,0.7214545454545455,2502,R3
clinc150,0.3,0.7678787878787878,2502,R3
clinc150,0.35,0.801038961038961,2502,R3
clinc150,0.4,0.8259090909090909,2502,R3
clinc150,0.45,0.8452525252525253,2502,R3
clinc150,0.5,0.8607272727272727,2502,R3
clinc150,0.55,0.8733884297520661,2502,R3
clinc150,0.6,0.8839393939393939,2502,R3
clinc150,0.65,0.8928671328671328,2502,R3
clinc150,0.7,0.9005194805194805,2502,R3
clinc150,0.75,0.9071515151515152,2502,R3
clinc150,0.8,0.9129545454545455,2502,R3
clinc150,0.85,0.9180748663101604,2502,R3
clinc150,0.9,0.9226262626262626,2502,R3
clinc150,0.95,0.9266985645933015,2502,R3
clinc150,1.0,0.9303636363636364,2502,R3
banking77_open,0.05,0.008620689655172414,2502,R0
banking77_open,0.1,0.021551724137931036,2502,R0
banking77_open,0.15,0.02586206896551724,2502,R0
banking77_open,0.2,0.023706896551724137,2502,R0
banking77_open,0.25,0.027586206896551724,2502,R0
banking77_open,0.3,0.035919540229885055,2502,R0
banking77_open,0.35,0.038177339901477834,2502,R0
banking77_open,0.4,0.04849137931034483,2502,R0
banking77_open,0.45,0.06513409961685823,2502,R0
banking77_open,0.5,0.07931034482758621,2502,R0
banking77_open,0.55,0.09404388714733543,2502,R0
banking77_open,0.6,0.11206896551724138,2502,R0
banking77_open,0.65,0.13527851458885942,2502,R0
banking77_open,0.7,0.16625615763546797,2502,R0
banking77_open,0.75,0.20057471264367815,2502,R0
banking77_open,0.8,0.23599137931034483,2502,R0
banking77_open,0.85,0.27028397565922924,2502,R0
banking77_open,0.9,0.30603448275862066,2502,R0
banking77_open,0.95,0.338929219600726,2502,R0
banking77_open,1.0,0.36939655172413793,2502,R0
banking77_open,0.05,0.0,2502,R2
banking77_open,0.1,0.01293103448275862,2502,R2
banking77_open,0.15,0.020114942528735632,2502,R2
banking77_open,0.2,0.021551724137931036,2502,R2
banking77_open,0.25,0.04482758620689655,2502,R2
banking77_open,0.3,0.06896551724137931,2502,R2
banking77_open,0.35,0.08620689655172414,2502,R2
banking77_open,0.4,0.10883620689655173,2502,R2
banking77_open,0.45,0.12164750957854406,2502,R2
banking77_open,0.5,0.14051724137931035,2502,R2
banking77_open,0.55,0.14968652037617555,2502,R2
banking77_open,0.6,0.17313218390804597,2502,R2
banking77_open,0.65,0.20159151193633953,2502,R2
banking77_open,0.7,0.22536945812807882,2502,R2
banking77_open,0.75,0.2540229885057471,2502,R2
banking77_open,0.8,0.2801724137931034,2502,R2
banking77_open,0.85,0.30831643002028397,2502,R2
banking77_open,0.9,0.33860153256704983,2502,R2
banking77_open,0.95,0.36705989110707804,2502,R2
banking77_open,1.0,0.39698275862068966,2502,R2
banking77_open,0.05,0.0,2502,MAX_THRESHOLD
banking77_open,0.1,0.01293103448275862,2502,MAX_THRESHOLD
banking77_open,0.15,0.020114942528735632,2502,MAX_THRESHOLD
banking77_open,0.2,0.021551724137931036,2502,MAX_THRESHOLD
banking77_open,0.25,0.04482758620689655,2502,MAX_THRESHOLD
banking77_open,0.3,0.06896551724137931,2502,MAX_THRESHOLD
banking77_open,0.35,0.08620689655172414,2502,MAX_THRESHOLD
banking77_open,0.4,0.10883620689655173,2502,MAX_THRESHOLD
banking77_open,0.45,0.12164750957854406,2502,MAX_THRESHOLD
banking77_open,0.5,0.14051724137931035,2502,MAX_THRESHOLD
banking77_open,0.55,0.14968652037617555,2502,MAX_THRESHOLD
banking77_open,0.6,0.17313218390804597,2502,MAX_THRESHOLD
banking77_open,0.65,0.20358090185676392,2502,MAX_THRESHOLD
banking77_open,0.7,0.2604679802955665,2502,MAX_THRESHOLD
banking77_open,0.75,0.30977011494252876,2502,MAX_THRESHOLD
banking77_open,0.8,0.35290948275862066,2502,MAX_THRESHOLD
banking77_open,0.85,0.390973630831643,2502,MAX_THRESHOLD
banking77_open,0.9,0.4248084291187739,2502,MAX_THRESHOLD
banking77_open,0.95,0.45508166969147007,2502,MAX_THRESHOLD
banking77_open,1.0,0.48232758620689653,2502,MAX_THRESHOLD
banking77_open,0.05,0.0,2502,R3
banking77_open,0.1,0.01293103448275862,2502,R3
banking77_open,0.15,0.3390804597701149,2502,R3
banking77_open,0.2,0.5043103448275862,2502,R3
banking77_open,0.25,0.603448275862069,2502,R3
banking77_open,0.3,0.6695402298850575,2502,R3
banking77_open,0.35,0.7167487684729064,2502,R3
banking77_open,0.4,0.7521551724137931,2502,R3
banking77_open,0.45,0.7796934865900383,2502,R3
banking77_open,0.5,0.8017241379310345,2502,R3
banking77_open,0.55,0.8197492163009404,2502,R3
banking77_open,0.6,0.8347701149425287,2502,R3
banking77_open,0.65,0.8474801061007957,2502,R3
banking77_open,0.7,0.8583743842364532,2502,R3
banking77_open,0.75,0.867816091954023,2502,R3
banking77_open,0.8,0.8760775862068966,2502,R3
banking77_open,0.85,0.8833671399594321,2502,R3
banking77_open,0.9,0.8898467432950191,2502,R3
banking77_open,0.95,0.895644283121597,2502,R3
banking77_open,1.0,0.9008620689655172,2502,R3
banking77_closed,0.05,0.0,2502,R0
banking77_closed,0.1,0.0,2502,R0
banking77_closed,0.15,0.0,2502,R0
banking77_closed,0.2,0.0016233766233766235,2502,R0
banking77_closed,0.25,0.0012987012987012987,2502,R0
banking77_closed,0.3,0.004329004329004329,2502,R0
banking77_closed,0.35,0.006493506493506494,2502,R0
banking77_closed,0.4,0.007305194805194805,2502,R0
banking77_closed,0.45,0.008658008658008658,2502,R0
banking77_closed,0.5,0.00909090909090909,2502,R0
banking77_closed,0.55,0.012987012987012988,2502,R0
banking77_closed,0.6,0.015151515151515152,2502,R0
banking77_closed,0.65,0.01848151848151848,2502,R0
banking77_closed,0.7,0.02365491651205937,2502,R0
banking77_closed,0.75,0.02987012987012987,2502,R0
banking77_closed,0.8,0.03612012987012987,2502,R0
banking77_closed,0.85,0.04736440030557677,2502,R0
banking77_closed,0.9,0.06204906204906205,2502,R0
banking77_closed,0.95,0.08202323991797676,2502,R0
banking77_closed,1.0,0.10616883116883116,2502,R0
banking77_closed,0.05,0.012987012987012988,2502,R2
banking77_closed,0.1,0.032467532467532464,2502,R2
banking77_closed,0.15,0.025974025974025976,2502,R2
banking77_closed,0.2,0.032467532467532464,2502,R2
banking77_closed,0.25,0.03116883116883117,2502,R2
banking77_closed,0.3,0.03787878787878788,2502,R2
banking77_closed,0.35,0.04730983302411874,2502,R2
banking77_closed,0.4,0.05113636363636364,2502,R2
banking77_closed,0.45,0.05772005772005772,2502,R2
banking77_closed,0.5,0.06363636363636363,2502,R2
banking77_closed,0.55,0.07142857142857142,2502,R2
banking77_closed,0.6,0.07792207792207792,2502,R2
banking77_closed,0.65,0.08191808191808192,2502,R2
banking77_closed,0.7,0.08858998144712431,2502,R2
banking77_closed,0.75,0.09480519480519481,2502,R2
banking77_closed,0.8,0.1038961038961039,2502,R2
banking77_closed,0.85,0.11191749427043544,2502,R2
banking77_closed,0.9,0.11976911976911978,2502,R2
banking77_closed,0.95,0.13055365686944634,2502,R2
banking77_closed,1.0,0.15,2502,R2
clinc150,0.05,0.0036363636363636364,2503,R0
clinc150,0.1,0.016363636363636365,2503,R0
clinc150,0.15,0.048484848484848485,2503,R0
clinc150,0.2,0.08545454545454545,2503,R0
clinc150,0.25,0.13963636363636364,2503,R0
clinc150,0.3,0.21878787878787878,2503,R0
clinc150,0.35,0.2950649350649351,2503,R0
clinc150,0.4,0.3659090909090909,2503,R0
clinc150,0.45,0.4298989898989899,2503,R0
clinc150,0.5,0.47963636363636364,2503,R0
clinc150,0.55,0.523305785123967,2503,R0
clinc150,0.6,0.5627272727272727,2503,R0
clinc150,0.65,0.594965034965035,2503,R0
clinc150,0.7,0.6228571428571429,2503,R0
clinc150,0.75,0.6470303030303031,2503,R0
clinc150,0.8,0.6686363636363636,2503,R0
clinc150,0.85,0.6877005347593583,2503,R0
clinc150,0.9,0.7046464646464646,2503,R0
clinc150,0.95,0.7198086124401913,2503,R0
clinc150,1.0,0.7338181818181818,2503,R0
clinc150,0.05,0.02181818181818182,2503,R2
clinc150,0.1,0.07818181818181819,2503,R2
clinc150,0.15,0.12848484848484848,2503,R2
clinc150,0.2,0.19545454545454546,2503,R2
clinc150,0.25,0.2596363636363636,2503,R2
clinc150,0.3,0.3103030303030303,2503,R2
clinc150,0.35,0.3511688311688312,2503,R2
clinc150,0.4,0.40545454545454546,2503,R2
clinc150,0.45,0.4537373737373737,2503,R2
clinc150,0.5,0.49854545454545457,2503,R2
clinc150,0.55,0.5371900826446281,2503,R2
clinc150,0.6,0.5721212121212121,2503,R2
clinc150,0.65,0.6036363636363636,2503,R2
clinc150,0.7,0.6311688311688312,2503,R2
clinc150,0.75,0.6545454545454545,2503,R2
clinc150,0.8,0.6759090909090909,2503,R2
clinc150,0.85,0.69475935828877,2503,R2
clinc150,0.9,0.7117171717171717,2503,R2
clinc150,0.95,0.72688995215311,2503,R2
clinc150,1.0,0.7405454545454545,2503,R2
clinc150,0.05,0.02181818181818182,2503,MAX_THRESHOLD
clinc150,0.1,0.07818181818181819,2503,MAX_THRESHOLD
clinc150,0.15,0.12848484848484848,2503,MAX_THRESHOLD
clinc150,0.2,0.19545454545454546,2503,MAX_THRESHOLD
clinc150,0.25,0.2596363636363636,2503,MAX_THRESHOLD
clinc150,0.3,0.3103030303030303,2503,MAX_THRESHOLD
clinc150,0.35,0.3511688311688312,2503,MAX_THRESHOLD
clinc150,0.4,0.41909090909090907,2503,MAX_THRESHOLD
clinc150,0.45,0.48363636363636364,2503,MAX_THRESHOLD
clinc150,0.5,0.5352727272727272,2503,MAX_THRESHOLD
clinc150,0.55,0.5775206611570248,2503,MAX_THRESHOLD
clinc150,0.6,0.6127272727272727,2503,MAX_THRESHOLD
clinc150,0.65,0.6425174825174825,2503,MAX_THRESHOLD
clinc150,0.7,0.668051948051948,2503,MAX_THRESHOLD
clinc150,0.75,0.6901818181818182,2503,MAX_THRESHOLD
clinc150,0.8,0.7095454545454546,2503,MAX_THRESHOLD
clinc150,0.85,0.7266310160427808,2503,MAX_THRESHOLD
clinc150,0.9,0.7418181818181818,2503,MAX_THRESHOLD
clinc150,0.95,0.7554066985645933,2503,MAX_THRESHOLD
clinc150,1.0,0.7676363636363637,2503,MAX_THRESHOLD
clinc150,0.05,0.13818181818181818,2503,R3
clinc150,0.1,0.5690909090909091,2503,R3
clinc150,0.15,0.7127272727272728,2503,R3
clinc150,0.2,0.7845454545454545,2503,R3
clinc150,0.25,0.8276363636363636,2503,R3
clinc150,0.3,0.8563636363636363,2503,R3
clinc150,0.35,0.8768831168831169,2503,R3
clinc150,0.4,0.8922727272727272,2503,R3
clinc150,0.45,0.9042424242424243,2503,R3
clinc150,0.5,0.9138181818181819,2503,R3
clinc150,0.55,0.9216528925619835,2503,R3
clinc150,0.6,0.9281818181818182,2503,R3
clinc150,0.65,0.9337062937062937,2503,R3
clinc150,0.7,0.9384415584415584,2503,R3
clinc150,0.75,0.9425454545454546,2503,R3
clinc150,0.8,0.9461363636363637,2503,R3
clinc150,0.85,0.9493048128342246,2503,R3
clinc150,0.9,0.9521212121212121,2503,R3
clinc150,0.95,0.9546411483253588,2503,R3
clinc150,1.0,0.9569090909090909,2503,R3
banking77_open,0.05,0.008620689655172414,2503,R0
banking77_open,0.1,0.03017241379310345,2503,R0
banking77_open,0.15,0.02586206896551724,2503,R0
banking77_open,0.2,0.04310344827586207,2503,R0
banking77_open,0.25,0.04310344827586207,2503,R0
banking77_open,0.3,0.05603448275862069,2503,R0
banking77_open,0.35,0.0665024630541872,2503,R0
banking77_open,0.4,0.06465517241379311,2503,R0
banking77_open,0.45,0.07567049808429119,2503,R0
banking77_open,0.5,0.08448275862068966,2503,R0
banking77_open,0.55,0.11050156739811912,2503,R0
banking77_open,0.6,0.13649425287356323,2503,R0
banking77_open,0.65,0.15915119363395225,2503,R0
banking77_open,0.7,0.18411330049261085,2503,R0
banking77_open,0.75,0.21551724137931033,2503,R0
banking77_open,0.8,0.24568965517241378,2503,R0
banking77_open,0.85,0.27434077079107505,2503,R0
banking77_open,0.9,0.30507662835249044,2503,R0
banking77_open,0.95,0.33303085299455537,2503,R0
banking77_open,1.0,0.36551724137931035,2503,R0
banking77_open,0.05,0.0,2503,R2
banking77_open,0.1,0.004310344827586207,2503,R2
banking77_open,0.15,0.017241379310344827,2503,R2
banking77_open,0.2,0.028017241379310345,2503,R2
banking77_open,0.25,0.04827586206896552,2503,R2
banking77_open,0.3,0.07327586206896551,2503,R2
banking77_open,0.35,0.08620689655172414,2503,R2
banking77_open,0.4,0.11206896551724138,2503,R2
banking77_open,0.45,0.1235632183908046,2503,R2
banking77_open,0.5,0.14051724137931035,2503,R2
banking77_open,0.55,0.14968652037617555,2503,R2
banking77_open,0.6,0.1724137931034483,2503,R2
banking77_open,0.65,0.1956233421750663,2503,R2
banking77_open,0.7,0.21613300492610837,2503,R2
banking77_open,0.75,0.23850574712643677,2503,R2
banking77_open,0.8,0.2634698275862069,2503,R2
banking77_open,0.85,0.29310344827586204,2503,R2
banking77_open,0.9,0.32231800766283525,2503,R2
banking77_open,0.95,0.35390199637023595,2503,R2
banking77_open,1.0,0.38275862068965516,2503,R2
banking77_open,0.05,0.0,2503,MAX_THRESHOLD
banking77_open,0.1,0.004310344827586207,2503,MAX_THRESHOLD
banking77_open,0.15,0.017241379310344827,2503,MAX_THRESHOLD
banking77_open,0.2,0.028017241379310345,2503,MAX_THRESHOLD
banking77_open,0.25,0.04827586206896552,2503,MAX_THRESHOLD
banking77_open,0.3,0.07327586206896551,2503,MAX_THRESHOLD
banking77_open,0.35,0.08620689655172414,2503,MAX_THRESHOLD
banking77_open,0.4,0.11206896551724138,2503,MAX_THRESHOLD
banking77_open,0.45,0.1235632183908046,2503,MAX_THRESHOLD
