abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,minimum_margin,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,ridge_strength,row_count,safe_coverage,seed,selected,stage,threshold,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.7416129032258064,0.8064918851435705,0.9938461538461538,0.06419354838709677,0.5204432541652325,0.3809677419354839,clinc150,0,0.6774193548387096,0.0719047619047619,0.646,0.646,0.65,1000,801,0.15,0.04645161290322581,0.9573090379075915,0.9246952380952381,0.8861104796544669,0.8477598956067856,0.9280952380952381,,3100,0.646,2501,False,selective,0.4,0.6774193548387096,2100,R3,0.0,0.004
0.7490322580645161,0.8200514138817481,0.9845679012345679,0.025806451612903226,0.5032622985411512,0.30870967741935484,clinc150,0,0.7232258064516129,0.06190476190476191,0.638,0.638,0.648,1000,778,0.0,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8909995477159657,0.8484065460809647,0.9380952380952381,,3100,0.638,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.01
0.7490322580645161,0.8200514138817481,0.9845679012345679,0.025806451612903226,0.5032622985411512,0.30870967741935484,clinc150,0,0.7232258064516129,0.06190476190476191,0.638,0.638,0.648,1000,778,0.025,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8909995477159657,0.8484065460809647,0.9380952380952381,,3100,0.638,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.01
0.7506451612903225,0.8214747736093143,0.9844961240310077,0.027419354838709678,0.5045666779713524,0.30870967741935484,clinc150,0,0.7232258064516129,0.06095238095238095,0.635,0.635,0.645,1000,773,0.05,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8908967698215495,0.8474430597335625,0.939047619047619,,3100,0.635,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.01
0.752258064516129,0.82421875,0.9875195007800313,0.02903225806451613,0.5054759992688094,0.30870967741935484,clinc150,0,0.7232258064516129,0.060476190476190475,0.633,0.633,0.641,1000,768,0.075,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8903429602888087,0.8460548885077187,0.9395238095238095,,3100,0.633,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.008
0.756774193548387,0.8328912466843501,0.9905362776025236,0.03354838709677419,0.5078582756074249,0.30870967741935484,clinc150,0,0.7232258064516129,0.05714285714285714,0.628,0.628,0.634,1000,754,0.1,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8906882591093118,0.8439897698209718,0.9428571428571428,,3100,0.628,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.006
0.7641935483870967,0.8454172366621067,0.9919743178170144,0.04096774193548387,0.5126217083058198,0.30870967741935484,clinc150,0,0.7232258064516129,0.05142857142857143,0.618,0.618,0.623,1000,731,0.15,0.025806451612903226,0.9573090379075915,0.9246952380952381,0.8914746028194226,0.8408611228366399,0.9485714285714286,,3100,0.618,2501,False,selective,0.45,0.7232258064516129,2100,R3,0.0,0.005
0.785483870967742,0.8706766917293233,0.9830220713073005,0.016451612903225808,0.5248660419008206,0.2496774193548387,clinc150,0,0.7690322580645161,0.03619047619047619,0.579,0.579,0.589,1000,665,0.0,0.016451612903225808,0.9573090379075915,0.9246952380952381,0.8926130099228226,0.8312114989733059,0.9638095238095238,,3100,0.579,2501,False,selective,0.5,0.7690322580645161,2100,R3,0.0,0.01
0.785483870967742,0.8706766917293233,0.9830220713073005,0.016451612903225808,0.5248660419008206,0.2496774193548387,clinc150,0,0.7690322580645161,0.03619047619047619,0.579,0.579,0.589,1000,665,0.025,0.016451612903225808,0.9573090379075915,0.9246952380952381,0.8926130099228226,0.8312114989733059,0.9638095238095238,,3100,0.579,2501,False,selective,0.5,0.7690322580645161,2100,R3,0.0,0.01
0.7861290322580645,0.8717948717948718,0.9829931972789115,0.017096774193548388,0.5253697765058865,0.2496774193548387,clinc150,0,0.7690322580645161,0.03571428571428571,0.578,0.578,0.588,1000,663,0.05,0.016451612903225808,0.9573090379075915,0.9246952380952381,0.8926603482477409,0.8309396799343455,0.9642857142857143,,3100,0.578,2501,False,selective,0.5,0.7690322580645161,2100,R3,0.0,0.01
0.7874193548387097,0.874051593323217,0.9846153846153847,0.018387096774193548,0.5263318637482275,0.2496774193548387,clinc150,0,0.7690322580645161,0.035238095238095235,0.576,0.576,0.585,1000,659,0.075,0.016451612903225808,0.9573090379075915,0.9246952380952381,0.8923144681788152,0.8299877099549365,0.9647619047619047,,3100,0.576,2501,False,selective,0.5,0.7690322580645161,2100,R3,0.0,0.009
0.7896774193548387,0.8788343558282209,0.9879310344827587,0.02064516129032258,0.5278314726022474,0.2496774193548387,clinc150,0,0.7690322580645161,0.03428571428571429,0.573,0.573,0.58,1000,652,0.1,0.016451612903225808,0.9573090379075915,0.9246952380952381,0.8918205804749341,0.8284313725490197,0.9657142857142857,,3100,0.573,2501,False,selective,0.5,0.7690322580645161,2100,R3,0.0,0.007
