abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,row_count,safe_coverage,seed,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.0,0.6030172413793103,0.8967948717948718,0.0,0.1566164033297824,1,banking77_open,0,0.0,1.0,0.8967948717948718,0.8967948717948718,1.0,1560,2320,0.0,0.7474606722142738,0.861993927125506,0.0,0.0,0.0,2320,0.8967948717948718,2502,0.0,760,R2,0.55,0.1032051282051282
0.35301724137931034,0.8001332445036642,0.9295665634674922,0.0,0.1799289807736969,0.6469827586206897,banking77_open,0,0.35301724137931034,0.275,0.7698717948717949,0.7698717948717949,0.8282051282051283,1560,1501,0.0,0.7474606722142738,0.861993927125506,0.6979100696643447,0.6727716727716728,0.725,2320,0.7698717948717949,2502,0.35301724137931034,760,MAX_THRESHOLD,0.3,0.058333333333333334
0.8995689655172414,0.9871244635193133,0.9913793103448276,0.0,0.6723849596760687,0.10043103448275863,banking77_open,0,0.8995689655172414,0.0013157894736842105,0.14743589743589744,0.14743589743589744,0.14871794871794872,1560,233,0.0,0.7474606722142738,0.861993927125506,0.5331928345626976,0.36367992333493054,0.9986842105263158,2320,0.14743589743589744,2502,0.8995689655172414,760,R3,0.0,0.001282051282051282
0.0,0.8938311688311689,0.8938311688311689,0.0,0.02093374500780816,1,banking77_closed,0,0.0,0.0,0.8938311688311689,0.8938311688311689,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8938311688311689,2502,0.0,0,R0,0.25,0.10616883116883116
0.0,0.85,0.85,0.0,0.06694357927646805,1,banking77_closed,0,0.0,0.0,0.85,0.85,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.85,2502,0.0,0,R2,0.45,0.15
0.0,0.2661818181818182,0.976,0.0,0.4089671332006715,1,clinc150,0,0.0,1.0,0.976,0.976,1.0,1500,5500,0.0,0.9791326405231499,0.95407,0.0,0.0,0.0,5500,0.976,2503,0.0,4000,R0,0.7333333333333333,0.024
0.0,0.25945454545454544,0.9513333333333334,0.0,0.44469884788286906,1,clinc150,0,0.0,1.0,0.9513333333333334,0.9513333333333334,1.0,1500,5500,0.0,0.9711224009736901,0.928892,0.0,0.0,0.0,5500,0.9513333333333334,2503,0.0,4000,R2,0.7,0.048666666666666664
0.6307272727272727,0.6292466765140325,0.9609022556390977,0.0,0.4651199609953484,0.36927272727272725,clinc150,0,0.6307272727272727,0.17525,0.852,0.852,0.8866666666666667,1500,2031,0.0,0.9711224009736901,0.928892,0.8833846565805328,0.9509945229172673,0.82475,5500,0.852,2503,0.6307272727272727,4000,MAX_THRESHOLD,0.43333333333333335,0.034666666666666665
0.9561818181818181,0.983402489626556,1.0,0.0007272727272727272,0.8224293529637527,0.04490909090909091,clinc150,0,0.9554545454545454,0.001,0.158,0.158,0.158,1500,241,0.0003636363636363636,0.9711224009736901,0.928892,0.8631601684847175,0.7598402738163149,0.999,5500,0.158,2503,0.9554545454545454,4000,R3,0.0,0.0
0.0,0.6344827586206897,0.9435897435897436,0.0,0.13156180306250567,1,banking77_open,0,0.0,1.0,0.9435897435897436,0.9435897435897436,1.0,1560,2320,0.0,0.6976403745753484,0.8459159919028341,0.0,0.0,0.0,2320,0.9435897435897436,2503,0.0,760,R0,0.825,0.05641025641025641
