benchmark,ci95_high,ci95_low,maximum,mean,metric,minimum,seed_count,variant
clinc150,0.9044202208377792,0.88487521637995,0.9103359173126616,0.8946477186088646,oos_f1,0.8614101184068892,10,MAX_THRESHOLD
clinc150,0.9354881696501202,0.9207294303498798,0.9457835,0.9281088,oos_auroc,0.909887,10,MAX_THRESHOLD
clinc150,0.973532731942025,0.9671498546630115,0.9785417786099986,0.9703412933025183,oos_aupr,0.9634510163277915,10,MAX_THRESHOLD
clinc150,0.1944261943151343,0.005573805684865693,0.43333333333333335,0.1,worst_intent_accuracy,0.0,10,MAX_THRESHOLD
clinc150,0.8371620430470487,0.8036379569529514,0.852,0.8204,intent_macro_accuracy,0.7766666666666667,10,MAX_THRESHOLD
clinc150,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,MAX_THRESHOLD
clinc150,0.47850653736161053,0.46150044882815733,0.49338676241641044,0.47000349309488393,aurc,0.4469009240522852,10,MAX_THRESHOLD
clinc150,0.9839043490854178,0.9763623175812488,0.992,0.9801333333333333,known_accuracy,0.9713333333333334,10,R0
clinc150,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R0
clinc150,0.9839043490854178,0.9763623175812488,0.992,0.9801333333333333,accepted_route_accuracy,0.9713333333333334,10,R0
clinc150,0.9839043490854178,0.9763623175812488,0.992,0.9801333333333333,safe_coverage,0.9713333333333334,10,R0
clinc150,0.02363768241875113,0.016095650914582205,0.028666666666666667,0.019866666666666668,wrong_bucket_access_rate,0.008,10,R0
clinc150,1.0,1.0,1.0,1.0,false_memory_access_rate,1.0,10,R0
clinc150,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R0
clinc150,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R0
clinc150,0.9595163894009531,0.9477740772657135,0.9720403333333333,0.9536452333333333,oos_auroc,0.93813,10,R0
clinc150,0.9827722597803187,0.9774628289832606,0.9882490369920277,0.9801175443817897,oos_aupr,0.973726154814112,10,R0
clinc150,0.8383860233124318,0.7349473100209014,0.9,0.7866666666666666,worst_intent_accuracy,0.7,10,R0
clinc150,0.9839043490854178,0.9763623175812488,0.992,0.9801333333333333,intent_macro_accuracy,0.9713333333333334,10,R0
clinc150,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R0
clinc150,0.41797652546795383,0.40551658218549125,0.4304271278296082,0.41174655382672254,aurc,0.39281922521728285,10,R0
clinc150,0.9737318730709513,0.9550681269290487,0.99,0.9644,known_accuracy,0.938,10,R2
clinc150,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R2
clinc150,0.9737318730709513,0.9550681269290487,0.99,0.9644,accepted_route_accuracy,0.938,10,R2
clinc150,0.9737318730709513,0.9550681269290487,0.99,0.9644,safe_coverage,0.938,10,R2
clinc150,0.044931873070951284,0.02626812692904872,0.062,0.0356,wrong_bucket_access_rate,0.01,10,R2
clinc150,1.0,1.0,1.0,1.0,false_memory_access_rate,1.0,10,R2
clinc150,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R2
clinc150,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R2
clinc150,0.9354881696501202,0.9207294303498798,0.9457835,0.9281088,oos_auroc,0.909887,10,R2
clinc150,0.973532731942025,0.9671498546630115,0.9785417786099986,0.9703412933025183,oos_aupr,0.9634510163277915,10,R2
clinc150,0.7920938457265393,0.6279061542734606,0.8666666666666667,0.71,worst_intent_accuracy,0.4,10,R2
clinc150,0.9737318730709513,0.9550681269290487,0.99,0.9644,intent_macro_accuracy,0.9380000000000001,10,R2
clinc150,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R2
clinc150,0.4456453879145125,0.4303023549960315,0.4516550303446076,0.437973871455272,aurc,0.41482998895457734,10,R2
clinc150,0.3686335911233384,0.1478997422099949,0.7553333333333333,0.25826666666666664,known_accuracy,0.158,10,R3
clinc150,0.3691086070048455,0.14875805966182123,0.7553333333333333,0.25893333333333335,known_coverage,0.158,10,R3
clinc150,1.0016244486697659,0.9910639057735798,1.0,0.9963441772216728,accepted_route_accuracy,0.9724409448818898,10,R3
clinc150,0.3686335911233384,0.1478997422099949,0.7553333333333333,0.25826666666666664,safe_coverage,0.158,10,R3
clinc150,0.0015592899333902585,-0.00022595660005692486,0.004666666666666667,0.0006666666666666668,wrong_bucket_access_rate,0.0,10,R3
clinc150,0.028534943157331294,-0.0041849431573312956,0.0865,0.012175,false_memory_access_rate,0.001,10,R3
clinc150,1.0041849431573313,0.9714650568426686,0.999,0.987825,oos_recall,0.9135,10,R3
clinc150,0.8812486370155537,0.863724350947028,0.9111083406059094,0.8724864939812909,oos_f1,0.8631601684847175,10,R3
clinc150,0.9354881696501202,0.9207294303498798,0.9457835,0.9281088,oos_auroc,0.909887,10,R3
clinc150,0.973532731942025,0.9671498546630115,0.9785417786099986,0.9703412933025183,oos_aupr,0.9634510163277915,10,R3
clinc150,0.0,0.0,0.0,0.0,worst_intent_accuracy,0.0,10,R3
clinc150,0.3686335911233384,0.1478997422099949,0.7553333333333333,0.25826666666666664,intent_macro_accuracy,0.158,10,R3
clinc150,0.011200787866130726,-0.003018969684312544,0.036727272727272726,0.004090909090909091,multi_candidate_set_rate,0.0,10,R3
clinc150,0.8157486524314215,0.7050548795223399,0.8224293529637527,0.7604017659768807,aurc,0.5175271577010774,10,R3
