ast_node_count,case_id,certificate_bytes,clause_count,literal_count,method,serialized_bytes,split
17,f2c-train-0004,635,3,3,AuthSynth-Symbolic,1838,train
17,f2c-train-0005,635,3,3,AuthSynth-Symbolic,1841,train
17,f2c-train-0006,635,3,3,AuthSynth-Symbolic,1838,train
20,f2c-train-0007,635,3,3,AuthSynth-Symbolic,2004,train
24,f2c-train-0008,635,4,5,AuthSynth-Symbolic,2437,train
8,f2c-train-0009,0,2,2,AuthSynth-Symbolic,1134,train
10,f2c-train-0010,635,2,1,AuthSynth-Symbolic,1243,train
17,f2c-train-0011,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0012,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0013,635,3,3,AuthSynth-Symbolic,1839,train
17,f2c-train-0014,635,3,3,AuthSynth-Symbolic,1838,train
17,f2c-train-0015,635,3,3,AuthSynth-Symbolic,1841,train
17,f2c-train-0016,635,3,3,AuthSynth-Symbolic,1838,train
20,f2c-train-0017,635,3,3,AuthSynth-Symbolic,2004,train
24,f2c-train-0018,635,4,5,AuthSynth-Symbolic,2437,train
8,f2c-train-0019,635,2,2,AuthSynth-Symbolic,1134,train
10,f2c-train-0020,635,2,1,AuthSynth-Symbolic,1243,train
17,f2c-train-0021,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0022,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0023,635,3,3,AuthSynth-Symbolic,1839,train
17,f2c-train-0024,635,3,3,AuthSynth-Symbolic,1838,train
17,f2c-train-0025,635,3,3,AuthSynth-Symbolic,1841,train
17,f2c-train-0026,635,3,3,AuthSynth-Symbolic,1838,train
20,f2c-train-0027,635,3,3,AuthSynth-Symbolic,2004,train
24,f2c-train-0028,635,4,5,AuthSynth-Symbolic,2437,train
8,f2c-train-0029,0,2,2,AuthSynth-Symbolic,1134,train
10,f2c-train-0030,635,2,1,AuthSynth-Symbolic,1243,train
17,f2c-train-0031,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0032,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0033,635,3,3,AuthSynth-Symbolic,1839,train
17,f2c-train-0034,635,3,3,AuthSynth-Symbolic,1838,train
17,f2c-train-0035,635,3,3,AuthSynth-Symbolic,1841,train
17,f2c-train-0036,635,3,3,AuthSynth-Symbolic,1838,train
20,f2c-train-0037,635,3,3,AuthSynth-Symbolic,2004,train
24,f2c-train-0038,635,4,5,AuthSynth-Symbolic,2437,train
8,f2c-train-0039,635,2,2,AuthSynth-Symbolic,1134,train
10,f2c-train-0040,635,2,1,AuthSynth-Symbolic,1243,train
15,f2c-train-0001,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0002,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0003,0,3,4,Gold Symbolic Contract,1730,train
15,f2c-train-0004,0,3,4,Gold Symbolic Contract,1729,train
15,f2c-train-0005,0,3,4,Gold Symbolic Contract,1732,train
15,f2c-train-0006,0,3,4,Gold Symbolic Contract,1729,train
18,f2c-train-0007,0,3,4,Gold Symbolic Contract,1895,train
22,f2c-train-0008,0,4,6,Gold Symbolic Contract,2328,train
8,f2c-train-0009,0,2,2,Gold Symbolic Contract,1134,train
8,f2c-train-0010,0,2,2,Gold Symbolic Contract,1134,train
15,f2c-train-0011,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0012,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0013,0,3,4,Gold Symbolic Contract,1730,train
15,f2c-train-0014,0,3,4,Gold Symbolic Contract,1729,train
15,f2c-train-0015,0,3,4,Gold Symbolic Contract,1732,train
15,f2c-train-0016,0,3,4,Gold Symbolic Contract,1729,train
18,f2c-train-0017,0,3,4,Gold Symbolic Contract,1895,train
22,f2c-train-0018,0,4,6,Gold Symbolic Contract,2328,train
8,f2c-train-0019,0,2,2,Gold Symbolic Contract,1134,train
8,f2c-train-0020,0,2,2,Gold Symbolic Contract,1134,train
15,f2c-train-0021,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0022,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0023,0,3,4,Gold Symbolic Contract,1730,train
15,f2c-train-0024,0,3,4,Gold Symbolic Contract,1729,train
15,f2c-train-0025,0,3,4,Gold Symbolic Contract,1732,train
15,f2c-train-0026,0,3,4,Gold Symbolic Contract,1729,train
18,f2c-train-0027,0,3,4,Gold Symbolic Contract,1895,train
22,f2c-train-0028,0,4,6,Gold Symbolic Contract,2328,train
8,f2c-train-0029,0,2,2,Gold Symbolic Contract,1134,train
8,f2c-train-0030,0,2,2,Gold Symbolic Contract,1134,train
15,f2c-train-0031,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0032,0,3,4,Gold Symbolic Contract,1727,train
15,f2c-train-0033,0,3,4,Gold Symbolic Contract,1730,train
15,f2c-train-0034,0,3,4,Gold Symbolic Contract,1729,train
15,f2c-train-0035,0,3,4,Gold Symbolic Contract,1732,train
15,f2c-train-0036,0,3,4,Gold Symbolic Contract,1729,train
18,f2c-train-0037,0,3,4,Gold Symbolic Contract,1895,train
22,f2c-train-0038,0,4,6,Gold Symbolic Contract,2328,train
8,f2c-train-0039,0,2,2,Gold Symbolic Contract,1134,train
8,f2c-train-0040,0,2,2,Gold Symbolic Contract,1134,train
0,f2c-calibration-0041,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0042,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0043,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0044,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0045,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0046,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0047,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0048,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0049,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0050,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0051,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0052,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0053,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0054,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0055,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0056,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0057,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0058,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0059,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0060,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0061,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0062,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0063,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0064,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0065,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0066,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0067,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0068,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0069,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0070,0,0,0,DenyAll,0,calibration
0,f2c-calibration-0071,0,0,0,DenyAll,0,calibration
