case_id,domain_assignment_count,method,replay_query_count,replay_query_reduction,solver_call_count,split
f2c-train-0036,768,CEGIS-No-Minimization,7,0.9908854166666666,9,train
f2c-train-0037,768,CEGIS-No-Minimization,9,0.98828125,10,train
f2c-train-0038,768,CEGIS-No-Minimization,10,0.9869791666666666,11,train
f2c-train-0039,768,CEGIS-No-Minimization,0,1.0,1,train
f2c-train-0040,768,CEGIS-No-Minimization,5,0.9934895833333334,6,train
f2c-train-0001,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0002,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0003,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0004,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0005,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0006,768,AuthSynth-Symbolic,7,0.9908854166666666,9,train
f2c-train-0007,768,AuthSynth-Symbolic,9,0.98828125,10,train
f2c-train-0008,768,AuthSynth-Symbolic,8,0.9895833333333334,9,train
f2c-train-0009,768,AuthSynth-Symbolic,0,1.0,1,train
f2c-train-0010,768,AuthSynth-Symbolic,5,0.9934895833333334,6,train
f2c-train-0011,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0012,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0013,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0014,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0015,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0016,768,AuthSynth-Symbolic,7,0.9908854166666666,9,train
f2c-train-0017,768,AuthSynth-Symbolic,9,0.98828125,10,train
f2c-train-0018,768,AuthSynth-Symbolic,8,0.9895833333333334,9,train
f2c-train-0019,768,AuthSynth-Symbolic,0,1.0,1,train
f2c-train-0020,768,AuthSynth-Symbolic,5,0.9934895833333334,6,train
f2c-train-0021,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0022,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0023,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0024,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0025,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0026,768,AuthSynth-Symbolic,7,0.9908854166666666,9,train
f2c-train-0027,768,AuthSynth-Symbolic,9,0.98828125,10,train
f2c-train-0028,768,AuthSynth-Symbolic,8,0.9895833333333334,9,train
f2c-train-0029,768,AuthSynth-Symbolic,0,1.0,1,train
f2c-train-0030,768,AuthSynth-Symbolic,5,0.9934895833333334,6,train
f2c-train-0031,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0032,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0033,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0034,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0035,768,AuthSynth-Symbolic,7,0.9908854166666666,8,train
f2c-train-0036,768,AuthSynth-Symbolic,7,0.9908854166666666,9,train
f2c-train-0037,768,AuthSynth-Symbolic,9,0.98828125,10,train
f2c-train-0038,768,AuthSynth-Symbolic,8,0.9895833333333334,9,train
f2c-train-0039,768,AuthSynth-Symbolic,0,1.0,1,train
f2c-train-0040,768,AuthSynth-Symbolic,5,0.9934895833333334,6,train
f2c-train-0001,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0002,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0003,768,Gold Symbolic Contract,0,1.0,0,train
f2c-train-0004,768,Gold Symbolic Contract,0,1.0,0,train
